Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

kHz;ITU;Program;Location;Reg;kW;QRB;QTF;O;Date;Remarks
153,00;ROU;SRR Antena Satelor;Braov/Bod Colonie;BV;100;1066;76;;22.12.25;
171,00;MRC;Medi 1;Nador (LW);otl;1600;1642;237;;30.09.24;
198,00;G;BBC Radio 4;Droitwich/Mast A-B;EN-WOR;250;1393;316;;21.12.25;
225,00;POL;Polskie Radio Jedynka;Solec Kujawski/Kabat;KP;700;1082;22;;21.12.25;
252,00;ALG;Chaine 3;Tipaza;42;750;1179;228;;21.12.25;
265,00;HRV;KAV;Pula / Kavran;pa;0.05;166;59;;30.09.24;-.-/.-/...- KAV
531,00;ALG;Radio Algerie Internationale;F'Kirina;4;300;1022;206;;04.10.24;
540,00;HNG;Kossuth Radió;Solt;BaK;2000;608;58;;30.09.24;
549,00;SVN;Radio Koper/Radio Slovenija 1;Beli Kriz;kp;15;186;34;;21.12.25;
558,00;SVN;Muravideki Magyar Radió;Murska Sobota/Nemcavci;ms;25;418;46;;05.01.26;
567,00;E;RNE Radio 5 Murcia;Murcia/Torre de Cotillas (RNE);MUR-MU;25;1317;244;;22.12.25;
567,00;ROU;SRR Radio Romania Actualitai;Satu Mare;SM;25;925;60;;04.10.24;id
576,00;BUL;BNR Horizont;Vidin/Gramada (RPS2);vdn;270;838;89;;05.01.26;
576,00;E;RNE Radio 5 Barcelona;Barcelona/Palau de Plegamans;CAT-B;100;868;254;;04.10.24;
585,00;IRN;IRIB Radio Farhang;Gheslagh/Dasht-e Qazvin;qzv;1000;3336;92;;05.01.26;
585,00;E;RNE Radio Nacional Madrid;Madrid/Majadahonda;MAD-M;100;1383;259;;04.10.24;
585,00;TUN;RTT Radio Nationale;Gafsa;gaf;200;1114;196;;04.10.24;
603,00;OMA;Radio Sultanate of Oman;Bidiyah;shq;500;4876;104;;21.12.25;
603,00;E;RNE Radio 5 Sevilla;Sevilla/La Corchuela;AND-SE;50;1713;250;;04.10.24;
612,00;E;RNE Radio Nacional Cataluña;Lleida=Lerida/Alcoletge (RNE);CAT-L;10;979;258;;04.10.24;
