Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
66,02;BLR;BR Radio Mogilev;Bobruysk/RTPS Yasny Les;MA;20.045;1603;45;;20.07.25;;;;;
66,56;BLR;BR Pershy Kanal;Slonim/RTPS Novaja Strazha;HR;8.26;1385;40;;20.07.25;;;;;
66,74;BLR;BR Kanal Kultura;Ushachy/RTPS Astravenec;VI;5.585;1699;38;;15.07.25;;;;;
66,86;BLR;BR Radio Stalitsa;Myadzel/RTPS Telyaki;MI;9.594;1586;36;;15.07.25;;;;;
67,34;BLR;BR Kanal Kultura;Slonim/RTPS Novaja Strazha;HR;8.96;1385;40;;20.07.25;;;;;
67,64;BLR;BR Radio Vitebsk;Myadzel/RTPS Telyaki;MI;9.594;1586;36;;20.07.25;;;;;
67,97;BLR;BR Pershy Kanal;Smorgon'/RTPS;HR;4.688;1535;37;;15.07.25;;;;;
67,97;RUS;Radio Rossii GTRK Kuban;Novorossiysk/RTPS;KD;17;2009;79;;22.05.26;;noPI ;[noRDS_];;
68,30;BLR;BR Radio Vitebsk;Ushachy/RTPS Astravenec;VI;5.585;1699;38;;20.07.25;;;;;
68,96;BLR;BR Kanal Kultura;Bobruysk/RTPS Yasny Les;MA;10.023;1603;45;;20.07.25;;;;;
69,08;BLR;BR Radio Brest;Pinsk/RTPS Posenichi;BR;6.561;1356;44;;20.07.25;;;;;
69,26;BLR;BR Radio Stalitsa;Geranyony/RTPS;HR;9.376;1468;36;;20.07.25;;;;;
69,92;BLR;BR Kanal Kultura;Vitebsk/RTPS Jurjeva Gorka;VI;6.237;1772;40;;20.07.25;;;;;
70,10;BLR;BR Radio Mogilev;Mogilev (Mahilyow)/RTPS Polykovichi;MA;8.472;1705;44;;20.07.25;;;;;
70,22;BLR;BR Pershy Kanal;Soligorsk/RTPS Dubei;MI;1.786;1472;44;;20.07.25;;;;;
70,43;BLR;BR Kanal Kultura;Minsk/RTPS Kolodischi;MI;8.954;1567;40;;20.07.25;;;;;
70,67;BLR;BR Pershy Kanal;Vitebsk/RTPS Jurjeva Gorka;VI;5.754;1772;40;;20.07.25;;;;;
70,79;BLR;BR Pershy Kanal;Berezino (Berazino)/ARTPS;MI;1.318;1620;42;;20.07.25;;;;;
70,91;BLR;BR Pershy Kanal;Brest/RTPS Rakitnitsa;BR;6.353;1242;40;;20.07.25;;noPI ;[noRDS_];;
71,03;BLR;BR Kanal Kultura;Zhlobin/RTPS (ul. Marksa 1a);GO;4.753;1627;47;;20.07.25;;;;;
71,18;BLR;BR Radio Stalitsa;Mogilev (Mahilyow)/RTPS Polykovichi;MA;7.656;1705;44;;20.07.25;;;;;
71,33;BLR;BR Pershy Kanal;Minsk/RTPS Kolodischi;MI;8.872;1567;40;;20.07.25;;;;;
71,45;BLR;BR Pershy Kanal;Bobruysk/RTPS Yasny Les;MA;10.023;1603;45;;20.07.25;;;;;
71,48;BLR;BR Radio Vitebsk;Vitebsk/RTPS Jurjeva Gorka;VI;6.237;1772;40;;20.07.25;;;;;
71,69;BLR;BR Kanal Kultura;Brest/RTPS Rakitnitsa;BR;6.353;1242;40;;20.07.25;;noPI ;[noRDS_];;
72,14;BLR;BR Pershy Kanal;Drogichin (Drahichyn)/RTPS Sirenevka;BR;0.5;1309;42;;20.07.25;;;;;
72,98;BLR;BR Radio Vitebsk;Braslaw/RTPS;VI;6.486;1652;34;;15.07.25;;;;;
87,50;I;Radio Capital;Castel San Pietro Terme/Monte Grande;bo;63.1;65;292;;10.08.24;X;5219 ;_CAPITAL;;
87,50;I;Radio Subasio;Sigillo/Monte Columeo (Monte Cucco);pg;31.6;98;154;;28.04.26;;53FD 58FD;SUBASIO_;;
87,50;I;Radio Easy Rock;Aviano/Frazione Piancavallo-Località Bornass;pn;100;217;6;;28.04.26;;5361 5061;EASYROCK;;
87,60;I;Radio Easy Rock;Valdobbiadene/Monte Barbaria-Località Cima Scarpezza;tv;125.9;201;355;;21.09.24;;5361 5761;EASYROCK;;
87,70;I;RAI Radio2;Rimini/Covignano (RAI);rn;3.2;27;117;;21.12.25;;5202 ;*Radio2_;;
87,70;I;Radio Italia Anni 60 (Emilia Romagna-Marche);Castel San Pietro Terme/Monte Grande;bo;63.1;65;292;;18.09.24;;5495 5595;R.ITALIA _ANNI60_;;
87,80;I;Radio Kiss Kiss;Cesena/Lugarara di Cesena-Via Lugarara;fc;7.9;8;239;;19.08.24;X;5225 ;KISSKISS;;
87,90;I;Radio Sportiva;Bologna/Colle Barbiano-Via Santa Liberata, 4;bo;40;80;297;;03.02.25;;5244 ;SPORTIVA;;
88,00;I;Radio Capital;Verucchio/Monte Ventoso-nord;rn;125.9;25;143;;19.08.24;X;5219 ;_CAPITAL;;
88,00;HRV;Radio Istra;Rovinj/Bubani-Vrh Sv. Martina;pa;3;161;47;;08.03.26;;C386 ;R-ISTRA_;;
88,10;I;RAI Radio1 Veneto;Vo/Monte Venda (RAI);pd;160;138;341;;21.09.24;;5201 5501;*Radio1_;;
88,10;I;Radio Birikina;Sagrado/Frazione San Martino del Carso-Monte San Michele;go;63.1;219;27;;07.05.26;;536E ;BIRIKINA;;
88,20;I;Radio 105;Cesena-Tessello/Monte dei Feriti;fc;20;9;237;;19.08.24;X;5211 ;__105___;;
88,30;I;RAI Radio1 Marche;Sirolo/Monte Conero (RAI);an;100;127;121;;15.12.24;;5201 5601;*Radio1_;;
88,40;I;Radio 105;Gemmano/Via Monte Gardo;;10;37;135;;19.08.24;X;5211 ;__105___;;
88,40;I;Radio Radicale;Ferrara/Via Aranova, 25;fe;40;93;326;;31.05.25;;5210 ;RADIO_*_ RADICALE;;
88,50;HRV;Rovinj FM;Rovinj/Golas-Vrh;pa;1;160;49;;08.03.26;;C48F ;RovinjFM;;
88,50;I;RAI Radio1 Friuli-Venezia Giulia;Frisanco/Val della Griva (RAI);pn;13;234;10;;21.12.25;;5201 ;*Radio1_;;
88,60;I;Radio Capital;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;79.4;12;230;;19.08.24;X;5219 ;_CAPITAL;;
88,70;I;RTL 102.5;Ronchi dei Legionari/Frazione Vermegliano/Monte Sei Busi;go;15.8;214;27;;07.05.26;;5218 ;RTL102.5;;
